,Game,K_views
0,Dragon Ball Z: Kakarot,66.0
1,Minecraft,60.0
2,PUBG MOBILE,42.0
3,World of Tanks,30.0
4,Fortnite,25.0
5,Counter-Strike: Global Offensive,23.0
6,Game for Peace,23.0
7,Garena Free Fire,22.0
8,League of Legends,20.0
9,FIFA 20,17.0
10,Mobile Legends: Bang Bang,14.0
11,Despicable Me: Minion Rush,14.0
12,Grand Theft Auto V,12.0
13,Apex Legends,11.0
14,PlayerUnknown's Battlegrounds,10.0
15,Brawl Stars,10.0
16,Hearthstone,10.0
17,Pokémon Sword and Shield,7.3
18,Escape from Tarkov,6.2
19,Splatoon 2,6.0
20,MapleStory,6.0
21,Rust,4.8
22,Dota 2,4.4
23,Yakuza: Like a Dragon,4.0
24,Dark Souls II,3.1
25,Lineage M,3.1
26,Dakar 18,2.8
27,Grand Theft Auto: San Andreas,2.7
28,Alien: Isolation,2.3
29,Total War: Warhammer II,2.3
30,Call of Duty: Black Ops 4,2.1
31,Call of Duty: Mobile,2.1
32,Lineage II,2.1
33,Seven Knights,2.0
34,Arena of Valor,2.0
35,Stardew Valley,1.8
36,Lurk in the Dark : Prologue,1.8
37,Red Dead Redemption 2,1.7
38,Shadowverse,1.7
39,Warface,1.7
40,Tom Clancy's Rainbow Six Siege,1.7
41,World of Tanks Blitz,1.5
42,Call of Duty: Modern Warfare,1.4
43,RAID: Shadow Legends,1.4
44,Heroes of Might and Magic III,1.3
45,DayZ,1.3
46,Lineage,1.3
47,Clash Royale,1.2
48,World of Warcraft,1.1
